hammerj1||Wed Sep 06 2017 09:24:08 ||Wed Sep 06 2017 09:25:22 ||0:01:14||Orbitals||1||24
demo||Wed Sep 06 2017 13:25:57 ||Wed Sep 06 2017 13:26:46 ||0:00:48||sn2||1||15
okoronkwoc1||Wed Sep 06 2017 13:34:40 ||Wed Sep 06 2017 13:36:45 ||0:02:04||Orbitals||1||27
okoronkwoc1||Wed Sep 06 2017 13:36:56 ||||0:01:27||Orbitals||0||14
okoronkwoc1||Wed Sep 06 2017 13:39:20 ||Wed Sep 06 2017 13:40:56 ||0:01:36||functional groups||1||18
kones1||Wed Sep 06 2017 16:43:44 ||Wed Sep 06 2017 16:49:14 ||0:05:30||orbitals||1||29
demo||Thu Sep 07 2017 16:14:05 ||Thu Sep 07 2017 16:15:08 ||0:01:02||acronyms||1||19
okoronkwoc1||Thu Sep 07 2017 21:06:39 ||Thu Sep 07 2017 21:08:04 ||0:01:24||Orbitals||1||19
okoronkwoc1||Thu Sep 07 2017 21:08:08 ||Thu Sep 07 2017 21:09:23 ||0:01:15||Orbitals||1||19
okoronkwoc1||Thu Sep 07 2017 21:09:28 ||Thu Sep 07 2017 21:11:24 ||0:01:55||Orbitals||1||27
okoronkwoc1||Thu Sep 07 2017 21:11:44 ||Thu Sep 07 2017 21:13:02 ||0:01:17||functional groups||1||20
okoronkwoc1||Thu Sep 07 2017 21:13:22 ||Thu Sep 07 2017 21:14:52 ||0:01:30||functional groups||1||21
okoronkwoc1||Thu Sep 07 2017 21:14:55 ||Thu Sep 07 2017 21:16:01 ||0:01:06||functional groups||1||17
wilsonk36||Mon Sep 11 2017 03:19:42 ||Mon Sep 11 2017 03:23:06 ||0:03:24||orbitals||1||26
wilsonk36||Mon Sep 11 2017 03:23:23 ||Mon Sep 11 2017 03:26:10 ||0:02:47||orbitals||1||25
mcbeea1||Mon Sep 11 2017 10:34:36 ||Mon Sep 11 2017 10:36:33 ||0:01:57||Orbitals||1||25
armstrongk6||Tue Sep 12 2017 17:40:27 ||Tue Sep 12 2017 17:41:28 ||0:01:00||orbitals||1||14
armstrongk6||Tue Sep 12 2017 17:41:38 ||Tue Sep 12 2017 17:42:23 ||0:00:45||orbitals||1||13
mcbrided2||Wed Sep 13 2017 13:22:26 ||Wed Sep 13 2017 13:23:39 ||0:01:13||orbitals||1||18
mcbrided2||Wed Sep 13 2017 13:23:52 ||Wed Sep 13 2017 13:23:39 ||0:00:17||orbitals||0||1
mcbrided2||Wed Sep 13 2017 13:24:09 ||Wed Sep 13 2017 13:25:44 ||0:01:35||orbitals||1||24
chappellt1||Wed Sep 13 2017 23:15:48 ||Wed Sep 13 2017 23:17:46 ||0:01:58||Orbitals||1||15
demo||Thu Sep 14 2017 12:17:54 ||||0:00:05||Orbitals||0||1
demo||Thu Sep 14 2017 12:21:22 ||||0:00:18||Orbitals||0||3
demo||Thu Sep 14 2017 13:30:04 ||||0:00:05||Orbitals||0||1
demo||Thu Sep 14 2017 13:30:16 ||Thu Sep 14 2017 13:31:28 ||0:01:12||orbitals||1||26
demo||Thu Sep 14 2017 13:36:43 ||Thu Sep 14 2017 13:31:28 ||0:00:39||functional groups||0||2
demo||Thu Sep 14 2017 15:27:35 ||Thu Sep 14 2017 15:28:54 ||0:01:19||pkas||1||19
demo||Thu Sep 14 2017 15:29:26 ||Thu Sep 14 2017 15:30:13 ||0:00:47||pkas||1||16
kones1||Sun Sep 17 2017 16:52:42 ||Sun Sep 17 2017 16:54:34 ||0:01:52||pkas||1||17
kones1||Sun Sep 17 2017 16:54:37 ||Sun Sep 17 2017 16:56:11 ||0:01:34||pkas||1||18
kones1||Sun Sep 17 2017 16:56:14 ||Sun Sep 17 2017 16:57:41 ||0:01:27||pkas||1||19
kones1||Sun Sep 17 2017 16:57:44 ||Sun Sep 17 2017 16:59:07 ||0:01:23||pkas||1||17
kones1||Sun Sep 17 2017 16:59:11 ||Sun Sep 17 2017 17:01:08 ||0:01:56||pkas||1||17
kones1||Sun Sep 17 2017 17:01:14 ||Sun Sep 17 2017 17:01:08 ||0:00:24||orbitals||0||5
kones1||Sun Sep 17 2017 17:01:39 ||Sun Sep 17 2017 17:03:39 ||0:02:00||orbitals||1||28
kones1||Sun Sep 17 2017 17:03:41 ||Sun Sep 17 2017 17:04:32 ||0:00:51||orbitals||1||16
kones1||Sun Sep 17 2017 17:04:34 ||Sun Sep 17 2017 17:05:54 ||0:01:20||orbitals||1||16
kones1||Sun Sep 17 2017 17:06:05 ||Sun Sep 17 2017 17:07:30 ||0:01:24||pkas||1||23
kones1||Sun Sep 17 2017 17:07:31 ||Sun Sep 17 2017 17:08:34 ||0:01:02||pkas||1||19
demo||Mon Sep 18 2017 12:03:32 ||||0:00:10||pkas||0||2
demo||Mon Sep 18 2017 12:03:54 ||Mon Sep 18 2017 12:12:21 ||0:08:26||functional groups||1||17
demo||Mon Sep 18 2017 12:12:44 ||Mon Sep 18 2017 12:19:03 ||0:06:19||functional groups||1||13
demo||Mon Sep 18 2017 12:20:10 ||Mon Sep 18 2017 12:24:41 ||0:04:31||functional groups||1||14
kones1||Mon Sep 18 2017 14:58:30 ||Mon Sep 18 2017 14:59:28 ||0:00:58||pkas||1||18
kones1||Mon Sep 18 2017 14:59:36 ||Mon Sep 18 2017 15:00:34 ||0:00:58||orbitals||1||18
kones1||Mon Sep 18 2017 15:04:03 ||Mon Sep 18 2017 15:06:00 ||0:01:57||functional groups||1||17
kones1||Mon Sep 18 2017 15:06:03 ||Mon Sep 18 2017 15:07:57 ||0:01:53||functional groups||1||16
armstrongk6||Mon Sep 18 2017 19:43:43 ||||0:00:50||functional groups||0||10
armstrongk6||Mon Sep 18 2017 19:44:33 ||Mon Sep 18 2017 19:45:52 ||0:01:19||functional groups||1||19
armstrongk6||Mon Sep 18 2017 19:45:59 ||Mon Sep 18 2017 19:46:50 ||0:00:51||functional groups||1||13
armstrongk6||Mon Sep 18 2017 19:46:59 ||Mon Sep 18 2017 19:47:56 ||0:00:57||functional groups||1||13
